ID_original,ID_new,mean_A,mean_w,mean_a,mean_c,nfcc,finalScore
2488,29,0.24627063707883506,0.3544389637441756,0.7524316007041565,0.6423415331822782,1,1000
2579,30,0.626583798631524,3.4799097730421917,0.00289627627928536,3.3153596008334247,1,19000
2593,31,0.5070971142263393,0.6733156280017288,0.022751105438094124,1.852759201181498,1,12000
2658,32,0.15254412216243965,0.05920191072135608,0.5389529844004232,1.193249308061462,1,-14000
2761,34,0.7818006737954647,0.8163735645632507,0.008210084730755485,2.928073535426221,0,21500
2767,35,0.2984865514441319,0.26367301449943903,0.03379605205494992,1.297850312591356,0,-10500
2799,36,0.44213271023707784,3.4561844103390453,0.003929227388946627,3.858991186795196,0,27000
2895,37,0.16386333304433875,0.07233822643410731,0.33090133933343396,1.4245230189132345,0,0
2937,38,0.6304904168409468,2.960698006037265,0.056072891019042406,1.8596621328390475,1,45500
3001,39,0.31496046657973437,3.9770331733113147,0.006269987515504687,3.761593070049896,0,32500
3076,40,0.40693845660264855,2.066839960388181,0.5302913523051676,0.12775289630409903,1,7000
3143,41,0.24046249320084187,4.361122465907619,0.009294041276873728,3.714710802198027,0,39000
3171,42,0.27053269496669125,0.9428573422256776,0.7394220756980268,0.6680443738546212,1,500
3279,43,0.9651566162073546,0.44758649034751047,0.07449912162339288,2.056700915799477,1,30000
3287,44,0.4180643945306372,3.4758065133517206,0.004288358151579315,3.8120671847530425,1,35000
3295,45,0.32165114670436035,0.9866699383442743,0.009917403148826337,3.2796025608820334,0,40500
3331,46,0.6122751850380335,3.2615794754096825,0.020645717396196344,1.8556326073146434,1,30500
3416,47,0.2230504867740473,2.4852785632689263,0.014968070170015365,2.2796219022377167,1,36500
3430,48,0.42216104593778647,4.201712158791739,0.041599352395497786,1.7501216543445537,1,39000
3467,49,0.5164795887273784,2.747483375012181,0.5523532831594866,3.24229318895362,0,33500
3566,50,0.12940034494607738,0.8465761620743152,0.008179128453493308,2.1112881996657156,1,21000
3570,51,0.4272004560611962,3.7593776716244793,0.006384623974100484,2.2496482546448933,1,11000
3689,53,0.3363962056182353,4.429227063221323,0.02735870870324188,1.9094510395559072,1,31500
3736,55,0.930027748990214,4.0956857649412,0.0016642887060416432,2.9977773006481767,1,30500
3756,56,0.5538486953685465,3.0719334942607643,0.050276234055462055,2.1229508773830554,0,34000
3762,57,0.4939193569400043,1.6131158228622782,0.6387383798931,0.22510298527457084,1,1500
3790,58,0.2543426146406672,0.08215178068417289,0.9601327882696115,1.0799100419260328,1,13000
3930,61,0.1299646052453216,0.3547574387951212,0.0022110270580117833,3.5465771295636115,0,33500
3936,62,0.15488809629256037,0.21952960264985363,0.8582751478441203,0.7188268850485183,0,6500
3937,63,0.3105197635812879,2.9593197869870336,0.018708715418070444,3.6125917801143252,0,38500
